RIL;DTF_LD;CLN_LD;RLN_LD;TLN_LD;DTF_SD;CLN_SD;RLN_SD;TLN_SD;AssayID;44606753;44607520;44606224;44607217;44606517;44607429;44606240;44607315;44606468;21607648;44607652;21607761;44606134;44606256;44606476;21607640;44607660;21607615;21607242;44607693;21607165;44607873;21607590;44606305;21607548;44608036;44607963;21607540;21607234;44606411;44606883;21607361;44607299;21607065;44606973;21607336;44607152;44607611;21607411;21607057;44607685;21606980;21606928;21607463;44607421;44606232;44607372;44607380;44608044;21607700;21606988;44606704;21607386;21607030;44608060;44606541;44606419;44607470;44606444;44606322;44607930;21607556;21607038;44606142;21607005;44606598;21607259;44607898;44607063;44607627;44607727;44607479;21607013;21607488;44606664;44607914;44606590;44606940;44606802;44607824;21607157;44606810;21607656;44607619;44606769;21607209;44606533;21607479;21606963;44606607;44607987;21607175;44606436;44606965;21607573;44607718;44606908;44606721;44606208;44607120;21607496;44607578;44607735;44606387;44607389;21607683;44606900;44606843;44606330;21607369;44607397;44606395;44606427;44607348;44608003;21607250;44607340;44606102;44607784;44607014;44608028;44607849;21607623;44606623;21607327;44606493;44606680;44607955;44607291;21607606;21607192;21607021;44606916;21607200;44606859;21607750;44607405;21607513;44606118;21607733;44607545;44607635;44607841;21607394;21607140;21607598;21607184;44607079;44607751;44606289;44606688;44607979;44606574;21607529;44607234;44607144;21607402;44607857;44606159;44607242;44606167;44607209;21607148;44607668;44606338;44607643;21606996;21607769;44607095;44606452;44606346;44606501;44607676;44606403;44607767;44606460;44606745;44607800;44607995;44606509;44607413
27;19.58;3.67;13.75;17.42;65.73;12.64;59.27;71.91;;H;A;A;A;A;A;A;A;A;H;H;H;H;H;H;A;A;A;A;H;H;H;H;A;H;H;H;-;H;-;H;H;H;-;-;-;A;A;A;A;H;B;H;-;B;H;A;A;A;A;A;A;A;A;A;A;-;H;H;H;H;H;-;H;H;A;A;H;H;-;H;-;-;-;H;-;B;-;H;H;H;H;H;H;A;A;A;B;-;B;B;H;H;H;-;H;H;-;H;H;H;H;H;H;B;-;-;B;B;B;B;B;B;B;H;B;B;B;B;B;A;A;H;H;H;H;-;-;B;-;-;B;-;-;H;-;H;-;B;-;-;H;B;B;H;H;H;H;-;-;-;H;H;H;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;H;H
28;21.17;2.92;14.17;17.08;65.64;11.18;56.73;67.91;;A;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;A;A;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;H;H;-;H;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;-;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H
29;24.6;7.6;25.7;33.3;65;18.75;64.25;83;;-;-;-;B;H;B;-;H;B;B;B;B;H;B;B;H;B;-;B;B;B;B;B;B;B;H;H;-;H;-;-;H;-;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;H;A;A;-;A;-;-;A;A;A;A;-;-;H;H;A;H;A;-;-;-;A;-;-;H;H;-;A;H;H;A;A;-;A;A;H;B;-;B;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;H;B;-;A;A;A;A;H;H;H;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;H;B;B;A;A;A;A;A;A;B;-;-;B;H;B;B;B;B;B;B;B
30;23.5;5.5;20.42;25.92;72;13;62.08;75.08;;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A
31;18.08;3.33;13.75;17.08;58.92;14.5;57.5;72;;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;-;A;A;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;-;B;A;A;A;A;A;A;A;A;A;A;A;A;B;H;B;B;B;B;B;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;-;B;B;B;B;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;H;B
32;33.25;12.5;40.83;53.33;85.11;12.63;82.75;95.38;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;H;H;H;-;-;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
33;18.83;3.5;14.08;17.58;57.67;11.83;54.5;66.33;;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
34;16.92;2.42;10.42;12.83;51.58;8;38.33;46.33;;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;-;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A
35;16.08;2.83;8.92;11.75;61;13.17;52.75;65.92;;H;-;H;H;H;H;H;H;H;H;H;-;H;H;H;A;H;B;B;B;B;B;B;B;B;H;H;H;H;H;H;H;H;H;-;H;B;B;B;B;B;B;B;B;B;B;B;B;B;H;-;-;H;B;H;H;B;B;H;H;H;H;B;B;B;B;B;H;H;H;H;H;H;H;H;H;H;-;H;H;H;H;H;H;H;H;A;H;H;B;H;-;H;H;H;B;B;B;H;H;H;-;H;H;H;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;-;H;H;B;B;B;B;B;H;A;A;A;A;H;-;H;A;A;A;A;A;A;A;B;B;B;B;A;H;-;-;H;H;B;B;H;H;H;H;A;A;H;-;H;H;H;-;H;B;B;B;-;B
36;18.67;3.18;12.18;15.36;49.33;7.67;40.33;48;;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;-;-;A;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;-;B;B;B;-;-;A;A;A;A;A;A;A;A;A;A;A;A;H;B;-;B;B;B;B;A;A;H;B;H;-;-;H;-;H;A;A;A;A;A;B;A;A;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;B;B;B;B;B;B;B;B;B;-;B;-;B;-;A;A;A;A;H;-;B;B;B;-;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
37;16;3.08;11.25;14.33;56.91;12.73;53.73;66.45;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;-;B;-;B;B;H;B;B;B;A;A;A;A;A;H;-;A;A;A;A;A;A;A;A;A;A;H;A;B;A;A;B;B;B;B;B;B;-;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;A;A;A;H;H;H;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;B;B;B;A;A;-;A;A;B;B;B
38;30.09;3.73;25.73;29.45;78.17;9.5;62.5;72;;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A
39;17.92;3.17;12.5;15.67;52.42;9.67;45.42;55.08;;-;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;H;-;H;-;-;H;A;A;A;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;-;H;-;B;-;-;-;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;-;A;B;B;B;-;-;B;H;B;H;-;H;A;A;-;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;H;-;A;A;A;A;H;B;-;-;A;A;H;A;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A
40;24.33;4;19;23;72.5;8.67;64;72.67;;A;-;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;B;B;H;H;H;H;H;H;H;H;H;H;H;-;H;H;H;H;H;H;H;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;H;B;B;A;B;B;B;B;B;B;B;B;-;B
41;20.25;4;14.58;18.58;65.33;12.58;54.25;66.83;;A;H;A;A;A;A;A;-;A;A;-;A;B;B;B;B;A;A;-;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;-;A;A;A;A;B;B;B;-;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;-;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A
42;18.75;3.5;13.83;17.33;54.5;10.83;51.83;62.67;;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
43;27;4.83;23.92;28.75;77.33;12.92;65.75;78.67;;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;H;H;B;B;A;A;A;A;A;A;A;B;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
44;21.83;3.67;17.33;21;85.8;15.57;62.71;78.29;;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;H;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;A;A;A;A;A
45;20.25;3.5;15.67;19.17;62.17;14.67;56.92;71.58;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
46;26.08;5.67;23.25;28.92;74.2;10.7;66.6;77.3;;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;H;H;H;H;H;H;H;A;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;B;B;-;B;B;H;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;A;A;A;A;A;A;H;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;H;H;H;H;H;-;H;H;B;B;B;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;A;A;A
47;23.67;5.33;23.17;28.5;69.33;14.17;67;81.17;;A;-;B;B;B;B;B;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;H;H;H;H;H;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;A;A;A;A;A;A;A;B;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A
48;18.5;3;12.92;15.92;59.33;14;57.42;71.42;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;-;B;A;A;A;A;A;A;A;A;A;A;A;B;B;A;A;A;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
49;21.25;4.5;17.83;22.33;61.27;10.64;48.91;59.55;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;-;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B
50;18.25;2.42;12.17;14.58;67.67;14.33;61.25;75.58;;B;H;H;H;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;B;A;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A
51;18.58;3;11.83;14.83;70.5;12.92;57.25;70.17;;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;A;A;A;A;A;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;B
52;24.58;6.25;23.5;29.75;68.5;11.42;63.42;74.83;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;H;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;H;H;H;H;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B
53;21.7;4;17.6;21.6;64.17;14;55.25;69.25;;B;B;B;B;B;B;B;-;-;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;H;H;H;H;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A
54;21.25;4.58;18.42;23;68.33;10.18;58.55;68.73;;A;-;H;A;A;H;-;-;A;-;-;A;-;A;-;A;A;A;A;A;A;-;-;A;-;H;-;A;-;A;-;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;H;-;A;H;A;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;-;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;-;-;-;-;-;H;-;-;-;-;-;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;-;-;-;-;H;B;B;B;B;B;B;-;H;-;-;-;-;A;A;H;-;H;H;B;H;H;B;B;B
55;17.25;3.64;13;16.64;66.08;15.17;68.92;84.08;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;B;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;H;H;H;H;H;H;H;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B
56;15.58;2.42;8.75;11.17;50.25;9.67;40.67;50.33;;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;H;H;H;H;B;A;A;A;A;A;H;H;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
57;23.17;5;20.25;25.25;63.67;9.42;58.75;68.17;;B;B;B;B;B;B;B;B;B;B;B;B;H;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;A;H;A;A;A;B;B;H;B;B;B;H;H;H;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;B;A;A;B;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
58;17.75;2.58;10.67;13.25;59.55;14.09;55.36;69.45;;B;B;B;B;H;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;H;A;A;B;B;-;A;-;A;A;A;-;A;-;A;A;A;A;B;B;B;B;B;-;B;B;B;B;B;B;B;B;B;B;B;B;B;-;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;B;A;B;B;B;B;-;B;B;B;B;A;A;A;A;A;-;-;-;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;-;-;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A
59;23.17;4;17.5;21.5;76.67;10.67;62.75;73.42;;A;A;A;H;A;-;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;H;A;A;A;-;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;A;A;A;-;A;A;A;A;H;-;A;H;A;A;A;A;A;H;A;-;A;A;A;A;A;A;-;A;A;A;A;A;A;-;-;A;A;A;-;A;A;A;A;A;A;A;A;A;A;A;A;-;A;A;A;A;A;A;-;B;B;B;B;-;B;B;B;-;B;-;B;-;B;B;B;-;A;A;A;A;A;A;H;A;A;A;A;A
